,Unnamed: 0,recipe,ingredients,prep_time_in_mins,cook_time_in_mins,recipe_link,course,diet,difficulty
0,0,tomato-rasam,"tomatoes,turmeric,salt,water,Tamarind,jaggery,coriander leaves,oil,mustard seeds,cumin seeds,dried red chili,curry leaves,hing,garlic,fenugreek seeds,pepper corn,dried red chili",5,15,https://www.indianhealthyrecipes.com/tomato-rasam-recipe/,,,
1,1,andhra-sambar-how-to-make-south-indian-sambar,"toor dal,water,tamarind,jaggery,salt,turmeric,red chilli powder,coriander leaves,onion diced,tomato,carrot diced,vegetable drumsticks,bhindi,green chili,ghee,curry leaves,cumin seeds,mustard seeds,methi seeds,asafoetida,dried red chili,coriander seeds,chana dal,urad dal,methi seeds,dried red chilies ",10,40,https://www.indianhealthyrecipes.com/andhra-sambar-recipe-how-to-make-south-indian-sambar/,,,
2,2,pongal-venn-pongal,"rice,moong dal,water,salt,ghee,cashew nuts,cumin seeds,black pepper corn,ginger,curry leaves,asafoetida,green chili",5,25,https://www.indianhealthyrecipes.com/pongal-recipe-venn-pongal/,,,
3,3,tomato-charu-tomato-rasam-andhra-style,"tomatoes,water,ghee,curry leaves,mustard seeds,cumin seeds,methi seeds,asafoetida,dried red chili,garlic,turmeric,coriander leaves,jaggery,tamarind,Kashmiri red chili,black pepper,coriander seeds,chana dal",5,12,https://www.indianhealthyrecipes.com/tomato-charu-recipe-tomato-rasam-recipe-andhra-style/,,,
4,4,garelu-medhu-vadai,"urad dal,salt,Ice cold water,Oil,pepper corn,green chilies,onions,curry leaves,cumin seeds,ginger",15,25,https://www.indianhealthyrecipes.com/garelu-medhu-vadai-recipe/,,,
5,5,idli-podi-idli-podi,"chana dal,urad dal,sesame seeds,salt,dried red chilies,cumin seeds,curry leaves,dried coconut,garlic cloves,hing",5,7,https://www.indianhealthyrecipes.com/idli-podi-recipe-idli-podi/,,,
6,6,idli-sambar-tiffin-sambar,"dal,water,tamarind,Salt as needed,shallots,french beans,carrot,pumpkin,tomato,turmeric,red chilli powder,coriander leaves,oil or ghee,curry leaves,dried red chili,cumin seeds,mustard seeds,methi seeds,hing,urad dal,chana dal,dried red chilies,coriander seeds,coconut",15,20,https://www.indianhealthyrecipes.com/idli-sambar-recipe-tiffin-sambar/,,,
7,7,veg-kurma-vegetable-korma,"fresh coconut,cashew nuts,fennel seeds,roasted chana dal,water,bay leaf,star anise,mace,cumin,green cardamoms,cloves,cinnamon,oil,onions,green chilli,ginger garlic paste,tomatoes,salt,beans,carrot,cauliflower,potatoes,green peas,coriander leaves,turmeric,red chili powder,garam masala",10,25,https://www.indianhealthyrecipes.com/veg-kurma-recipe-vegetable-korma-recipe/,,,
8,8,dosa-dosa-batter,"urad dal,water,rice,chana dal,fenugreek seeds,poha,rock salt,whole urad dal,methi seeds",10,25,https://www.indianhealthyrecipes.com/dosa-recipe-dosa-batter/,,,
9,9,tomato-rice,"aged basmati rice,oil,onion,green chili,ginger garlic paste,tomatoes,salt,garam masala,red chili powder,Turmeric,water for cooker,coriander leaves,lemon juice,whole cashewnuts,bay leaf,cumin seeds,cinnamon piece,green cardamoms,cloves",10,30,https://www.indianhealthyrecipes.com/tomato-rice-recipe/,,,
